Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
;C724;;CA 72-4;SUERO;0;No;Si;Si;Electroquimioluminiscencia;U/ml;hasta 4.00;;;;
CAL;137;CALCITONINA Plasmática;CALCITONINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml.;mujeres hasta 5.89;hombres hasta 12.69;;;
;CALC;;CALCITONINA;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml.;mujeres hasta 5.89;hombres hasta 12.69;;;
CAMF;CPT;CALPROTECTINA;CALPROTECTINA EN MATERIA FECAL;BACTERIO;0;Si;Si;Si;Enzimoinmunoensayo;ug/g. mat. Fecal;Normal hasta 50 ug/g MF  Riesgo moderado 50 a 200 ug/g MF  Riesgo elevado mayor a 200;;;;
;CPT;;CALPROTECTINA EN MATERIA FECAL;BACTERIO;0;No;Si;Si;Enzimoinmunoensayo;ug/g. mat. Fecal;Normal hasta 50 ug/g MF  Riesgo moderado 50 a 200 ug/g MF  Riesgo elevado mayor a 200;;;;
CD4;C41;CD 4 SUBPOBLACION LINFOCITARIA POR CF;CD 4 %;E.D.T.A;0;No;Si;Si;CITOMETRIA de FLUJO;%;36 a 46;;;;
;210;;CD 4 %;E.D.T.A;0;Si;Si;Si;CITOMETRIA de FLUJO;%;36 a 46;;;;
;C42;;CD4 TOTALES;E.D.T.A;0;No;Si;Si;;/mm3;;;;;
LCD;3538LM;LEUCOCITOS PARA CD;LEUCOCITOS PARA CD;E.D.T.A;0;Si;Si;Si;;;;;;;
FCD;3538LMa;LINFOCITOS PARA CD;LINFOCITOS PARA CD;E.D.T.A;0;Si;Si;Si;;;;;;;
CD8;3538LM8b;CD 8 SUBPOBLAC. LINFOCITARIA Citometria de fluj;CD8 TOTALES;E.D.T.A;0;Si;Si;Si;;/mm3;;;;;
;213;;CD 8 %;E.D.T.A;0;Si;Si;Si;CITOMETRIA de FLUJO;%;19 a 40;;;;
;C81;;CD 8 %;E.D.T.A;0;No;Si;Si;CITOMETRIA de FLUJO;%;19 a 40;;;;
